s,r,Reputation,Prediction,fdk_val,Response,value,trial,fdk_val_1b
sub-1055,1,Nice60,0,0,3,3,20,2
sub-1055,1,Mean60,0,1,4,3,21,1
sub-1055,1,Nice80,0,1,3,2,22,2
sub-1055,1,Mean80,0,0,3,3,23,2
sub-1055,1,Nice60,1,1,3,3,24,1
sub-1055,1,Mean60,0,1,3,3,25,2
sub-1055,1,Nice80,0,0,1,2,26,2
sub-1055,1,Mean80,1,0,1,3,27,1
sub-1055,1,Nice60,1,1,3,3,28,2
sub-1055,1,Mean60,0,0,2,3,29,2
sub-1055,1,Nice80,1,1,1,2,30,1
sub-1055,1,Mean80,1,0,2,3,31,1
sub-1055,1,Nice60,1,0,2,3,32,2
sub-1055,2,Mean60,1,1,3,2,33,1
sub-1055,2,Nice80,0,1,4,3,34,2
sub-1055,2,Mean80,0,1,4,2,35,1
sub-1055,2,Nice60,1,1,4,3,36,1
sub-1055,2,Mean60,0,0,2,2,37,2
sub-1055,2,Nice80,0,1,3,3,38,2
sub-1055,2,Mean80,0,0,3,2,39,2
sub-1055,2,Nice60,0,0,1,3,40,2
sub-1055,2,Mean60,1,1,3,2,41,1
sub-1055,2,Nice80,0,0,1,3,42,2
sub-1055,2,Mean80,0,0,1,2,43,1
sub-1055,2,Nice60,1,0,2,3,44,1
sub-1055,2,Mean60,1,0,2,2,45,2
sub-1055,2,Nice80,1,1,4,3,46,1
sub-1055,2,Mean80,1,0,3,2,47,1
sub-1055,2,Nice60,NA,1,4,3,48,1
sub-1055,2,Mean60,0,0,1,2,49,1
sub-1055,2,Nice80,1,1,3,3,50,2
sub-1055,2,Mean80,1,0,1,2,51,1
sub-1055,2,Nice60,1,0,1,3,52,2
sub-1055,2,Mean60,1,1,3,2,53,1
sub-1055,2,Nice80,0,1,4,3,54,2
sub-1055,2,Mean80,1,0,2,2,55,1
sub-1055,2,Nice60,1,0,3,3,56,1
sub-1055,2,Mean60,0,1,4,2,57,2
sub-1055,2,Nice80,0,1,3,3,58,2
sub-1055,2,Mean80,1,0,3,2,59,1
sub-1055,2,Nice60,0,0,1,3,60,1
sub-1055,2,Mean60,NA,0,1,2,61,2
sub-1055,2,Nice80,1,0,2,3,62,2
sub-1055,2,Mean80,1,1,3,2,63,1
sub-1055,2,Nice60,0,1,4,3,64,1
sub-1055,3,Mean60,0,0,NA,2,65,1
sub-1055,3,Nice80,1,1,3,3,66,1
sub-1055,3,Mean80,0,0,1,1,67,2
sub-1055,3,Nice60,1,1,3,3,68,2
sub-1055,3,Mean60,1,0,1,2,69,1
sub-1055,3,Nice80,1,1,4,3,70,2
sub-1055,3,Mean80,1,0,2,1,71,1
sub-1055,3,Nice60,1,0,1,3,72,2
sub-1055,3,Mean60,1,0,1,2,73,1
sub-1055,3,Nice80,1,1,3,3,74,2
sub-1055,3,Mean80,1,0,1,1,75,1
sub-1055,3,Nice60,1,0,1,3,76,1
sub-1055,3,Mean60,1,1,3,2,77,1
sub-1055,3,Nice80,0,1,2,3,78,2
sub-1055,3,Mean80,1,0,1,1,79,1
sub-1055,3,Nice60,1,1,3,3,80,1
sub-1055,3,Mean60,0,1,3,2,81,2
sub-1055,3,Nice80,0,0,2,3,82,2
sub-1055,3,Mean80,1,1,3,1,83,1
sub-1055,3,Nice60,0,0,2,3,84,2
sub-1055,3,Mean60,1,0,3,2,85,2
sub-1055,3,Nice80,1,1,3,3,86,1
sub-1055,3,Mean80,0,0,1,1,87,2
sub-1055,3,Nice60,1,1,4,3,88,1
sub-1055,3,Mean60,1,1,3,2,89,1
sub-1055,3,Nice80,0,1,3,3,90,2
sub-1055,3,Mean80,0,0,2,1,91,1
sub-1055,3,Nice60,1,0,2,3,92,2
sub-1055,3,Mean60,1,0,2,2,93,2
sub-1055,3,Nice80,1,1,3,3,94,2
sub-1055,3,Mean80,0,0,2,1,95,1
sub-1055,3,Nice60,1,1,2,3,96,1
sub-1055,4,Mean60,1,1,3,1,97,1
sub-1055,4,Nice80,0,1,4,4,98,2
sub-1055,4,Mean80,0,0,1,1,99,1
sub-1055,4,Nice60,NA,1,4,3,100,2
sub-1055,4,Mean60,1,0,1,1,101,2
sub-1055,4,Nice80,1,1,3,4,102,2
sub-1055,4,Mean80,1,0,1,1,103,1
sub-1055,4,Nice60,1,0,2,3,104,2
sub-1055,4,Mean60,1,1,3,1,105,1
sub-1055,4,Nice80,0,1,4,4,106,2
sub-1055,4,Mean80,0,1,3,1,107,1
sub-1055,4,Nice60,1,1,4,3,108,1
sub-1055,4,Mean60,1,0,2,1,109,2
sub-1055,4,Nice80,1,0,1,4,110,2
sub-1055,4,Mean80,1,0,1,1,111,2
sub-1055,4,Nice60,1,1,4,3,112,2
sub-1055,4,Mean60,0,0,1,1,113,1
sub-1055,4,Nice80,1,1,3,4,114,1
sub-1055,4,Mean80,1,0,3,1,115,1
sub-1055,4,Nice60,1,0,1,3,116,2
sub-1055,4,Mean60,0,1,3,1,117,1
sub-1055,4,Nice80,1,1,3,4,118,2
sub-1055,4,Mean80,1,0,1,1,119,1
sub-1055,4,Nice60,1,1,4,3,120,1
sub-1055,4,Mean60,1,1,3,1,121,2
sub-1055,4,Nice80,0,1,1,4,122,2
sub-1055,4,Mean80,1,1,3,1,123,1
sub-1055,4,Nice60,1,0,2,3,124,2
sub-1055,4,Mean60,1,0,2,1,125,2
sub-1055,4,Nice80,0,0,3,4,126,2
sub-1055,4,Mean80,1,0,2,1,127,2
sub-1055,4,Nice60,1,1,3,3,128,1
sub-1144,1,Mean60,1,0,1,2,1,1
sub-1144,1,Nice80,NA,1,4,2,2,1
sub-1144,1,Mean80,NA,0,2,2,3,1
sub-1144,1,Nice60,NA,1,4,2,4,1
sub-1144,1,Mean60,NA,0,2,2,5,1
sub-1144,1,Nice80,NA,1,4,2,6,2
sub-1144,1,Mean80,NA,0,1,2,7,1
sub-1144,1,Nice60,NA,1,3,2,8,2
