roi_key,roi_name,mni_x,mni_y,mni_z,n_voxels,n_obs,n_subjects,b_run,b_SA,b_interaction,t_run,t_SA,t_interaction,p_run,p_SA,p_interaction,p_SA_perm,p_interaction_perm,method,rho_run1,rho_run2,rho_run3,rho_run4,q_interaction_fdr,q_SA_fdr
Prec,Precuneus,-1,-59,41,171,132,33,-0.0447429118260605,0.022251060156233363,0.0029524618167459087,-1.07714722117181,2.001708320297129,0.29695413887041433,0.2834403924659438,0.047430272945057764,0.7669828653725422,0.04459554044595541,0.7055294470552945,ols,0.25194805194805203,0.019913419913419925,0.1670995670995671,0.07705627705627704,0.8231176882311769,0.41995800419958
TPJ_R,R TPJ,54,-55,20,168,132,33,-0.023558024371227657,0.020384992195216965,-0.006604949198625707,-0.5487953407307102,1.7745219004293353,-0.6428287651350096,0.5841019213233614,0.07835411157346572,0.5214850573600641,0.09319068093190681,0.5344465553444655,ols,0.04588744588744589,0.028571428571428553,0.0961038961038961,-0.04069264069264068,0.7937206279372063,0.543612305436123
MTG_R,R middle temporal gyrus,56,-10,-17,171,132,33,-0.05701402024045735,0.008966075856899014,0.0013570215246478346,-1.0413410852277813,0.6119458755183855,0.10355053475234278,0.29968017388197876,0.5416590303279234,0.9176881110626367,0.508049195080492,0.9096090390960904,ols,0.2242424242424242,0.08917748917748919,0.24848484848484848,0.009523809523809523,0.9207079292070793,0.8169400451259222
TP_L,L temporal pole,-48,8,-36,133,132,33,-0.013613100590861363,0.0010255765692031536,-0.005874254883743685,-0.23677517819282626,0.06665710901374465,-0.42686070455666736,0.813209717710934,0.9469586837462949,0.6701979009524043,0.9412058794120588,0.624937506249375,ols,0.1878787878787879,-0.15151515151515152,0.03722943722943723,0.10822510822510824,0.8101041747677085,0.9412058794120589
TP_R,R temporal pole,53,7,-26,171,132,33,-0.022417838915869723,0.009971157116367715,0.002462557950516851,-0.4859853591185993,0.8077449777440177,0.2230335375362987,0.6278084821842843,0.4207359616136517,0.8238649360131449,0.44985501449855014,0.8468153184681532,ols,0.1896103896103896,-0.11861471861471862,0.11688311688311688,0.032034632034632034,0.9207079292070793,0.8169400451259222
FP,Medial frontal pole,1,58,10,171,132,33,0.062435428461519615,-0.005886984671804922,0.012083759893176272,1.3232299677936483,-0.4662259063257245,1.0699428737866972,0.18811772480791647,0.6418462618695118,0.28665848256192916,0.6538346165383462,0.2390760923907609,ols,-0.037229437229437216,-0.15844155844155844,0.09783549783549783,0.040692640692640704,0.5835083158350831,0.8374162583741626
PCC,PCC,-1,-54,23,171,132,33,0.04850380322540857,0.01302878741135937,0.008518730920379015,0.9889141654012609,0.9926269623657964,0.7256245650530853,0.3245708359419909,0.3227645360894187,0.46939357105837176,0.30586941305869414,0.24887511248875113,ols,0.10129870129870129,-0.03376623376623376,0.10129870129870132,0.1341991341991342,0.5835083158350831,0.8169400451259222
dmPFC,dmPFC,-4,53,31,171,132,33,0.03297883324669475,0.008493231790424379,0.023514876939957272,0.8177725112221937,0.7869904516100781,2.4360949042468416,0.41500676083259413,0.43274218824719246,0.016222795324974615,0.46405359464053597,0.0292970702929707,ols,0.056277056277056293,-0.040692640692640704,0.07012987012987013,0.09090909090909091,0.25634936506349365,0.8169400451259222
TPJ_L,L TPJ,-49,-61,27,171,132,33,-0.039889862857063425,0.009939830269757637,0.00509445178682468,-0.6959128848268155,0.647993378633336,0.3713163413422897,0.48774503646699985,0.5181498959228695,0.7110158197198247,0.5368463153684632,0.5669433056694331,ols,0.2952380952380952,0.025108225108225097,0.29523809523809524,0.12034632034632034,0.7937206279372063,0.8169400451259222
MT_V5_L,L MT/V5,-50,-66,5,171,132,33,0.01563894672648422,0.01841328504596041,-0.0036537518253893495,0.37529093770407657,1.6511674505048815,-0.36631431818327626,0.7080652620016037,0.10115579418627403,0.7147353216713555,0.1638836116388361,0.6741325867413258,ols,0.20346320346320343,-0.03203463203463203,0.30735930735930733,0.12554112554112554,0.8136082943429794,0.7747350264973503
