roi_key,roi_name,mni_x,mni_y,mni_z,n_voxels,n_obs,n_subjects,b_run,b_SA,b_interaction,t_run,t_SA,t_interaction,p_run,p_SA,p_interaction,p_SA_perm,p_interaction_perm,method,rho_run1,rho_run2,rho_run3,rho_run4,q_interaction_fdr,q_SA_fdr
Prec,Precuneus,-1,-59,41,171,132,33,-0.07303122982186805,0.014015145176677688,0.004668823258750371,-1.693332880927262,1.2143128575814865,0.4522675547431166,0.0928244393594199,0.22686384575417848,0.6518417816172963,0.2248775122487751,0.6158384161583842,ols,0.2103896103896104,0.0008658008658008778,0.14978354978354977,-0.03549783549783548,0.7983090579830906,0.6032521747825218
TPJ_R,R TPJ,54,-55,20,168,132,33,0.0062244202084089486,0.032481628832829526,-0.005734264120668339,0.11126846479013293,2.1697527954583533,-0.42825767650448754,0.911577748779263,0.031872413756222656,0.669183284488492,0.0408959104089591,0.7097290270972902,ols,0.0251082251082251,0.07359307359307357,0.11515151515151516,-0.06666666666666667,0.8312233292799753,0.5131361863813618
MTG_R,R middle temporal gyrus,56,-10,-17,171,132,33,-0.0271118874403273,0.005786369678116264,0.00013218984781828596,-0.5045054633430538,0.40235700096032095,0.010276813974239893,0.6147736157821619,0.6880924373407207,0.9918164332385188,0.671032896710329,0.9932006799320068,ols,0.2502164502164502,0.07186147186147185,0.25541125541125537,-0.000865800865800856,0.9932006799320068,0.8610388961103891
TP_L,L temporal pole,-48,8,-36,133,132,33,-0.021331639162692123,0.009974343465833011,-0.003845286711292034,-0.45756064233470284,0.7994807598844097,-0.34459377768220234,0.6480438418169117,0.425492824382924,0.7309653114841808,0.4413558644135586,0.7362263773622638,ols,0.17402597402597403,-0.13246753246753246,0.06147186147186147,0.05281385281385281,0.8312233292799753,0.7723727627237276
TP_R,R temporal pole,53,7,-26,171,132,33,-0.02276044288517174,0.0022749848328039463,0.006852858679918776,-0.49225477461970274,0.1838598915342047,0.6192061716915563,0.6233824823621602,0.8544143188605948,0.5368810890132367,0.8743125687431257,0.5500449955004499,ols,0.18268398268398264,-0.07878787878787875,0.1238095238095238,0.03203463203463205,0.7404451862506056,0.8813118688131187
FP,Medial frontal pole,1,58,10,171,132,33,0.05703651749611877,0.004663228686814284,0.015464966992656488,1.006359719700867,0.3074583017250256,1.139996489385032,0.3161412068137244,0.758994242857529,0.25641646167644344,0.7505249475052495,0.31816818318168183,ols,0.02164502164502165,-0.12207792207792208,0.1670995670995671,0.0008658008658008493,0.7404451862506056,0.8791120887911209
PCC,PCC,-1,-54,23,171,132,33,0.00221525315899309,0.01010415999901597,0.006308636780085298,0.05723353658782367,0.975498707099468,0.6809528056668973,0.9544484119678083,0.33115292808455143,0.4971313798110466,0.250974902509749,0.405959404059594,ols,0.1341991341991342,0.004329004329004334,0.07186147186147188,0.09264069264069263,0.7404451862506056,0.6032521747825218
dmPFC,dmPFC,-4,53,31,171,132,33,-0.00810651102223961,0.011488575433453722,0.026947254949341005,-0.18518187404796496,0.9806859260703151,2.571776954725665,0.8533794928683058,0.32859761050735137,0.011260174310746832,0.35976402359764026,0.0084991500849915,ols,0.1064935064935065,-0.018181818181818177,0.1238095238095238,0.025108225108225114,0.19073092690730925,0.6995411569954116
TPJ_L,L TPJ,-49,-61,27,171,132,33,-0.03599905511317604,0.010883861262875695,0.00923585858767431,-0.8022693213650282,0.9063821537131664,0.8599251085824908,0.423884195010484,0.366436688515382,0.39143806209344545,0.38096190380961903,0.26447355264473554,ols,0.3021645021645022,0.03549783549783549,0.2658008658008658,0.12900432900432898,0.7404451862506056,0.7017719280703508
MT_V5_L,L MT/V5,-50,-66,5,171,132,33,0.015919002738412465,0.018604141277410172,-0.0033018657879547155,0.39245842235911793,1.713904781342509,-0.3400881380331022,0.6953722778513011,0.08896680896243919,0.7343476089829528,0.14908509149085092,0.7231276872312768,ols,0.2173160173160173,-0.058008658008658016,0.2727272727272727,0.12380952380952383,0.8312233292799753,0.5217978202179782
